	dg_d	dg_v	ca3_d	ca3_v	ca2	ca1_d	ca1_i	ca1_v	sst	pv
ENSMUSG00000025007	9.29992	8.01496	9.16355	8.34617	5.00226	8.61728	11.5688	6.94942	9.69359	15.3065
ENSMUSG00000025008	5.87931	16.5281	6.10316	6.09806	4.79223	4.36853	3.53764	5.61467	4.23669	7.73904
ENSMUSG00000025010	2.95737	5.41964	1.82232	2.37826	2.11477	3.24555	2.57996	2.30433	1.83302	1.71525
ENSMUSG00000025013	0	0.178197	0	0.0221751	0.415753	0.00482578	0	0	0	0
ENSMUSG00000025014	0	0	0	0	0.0165329	0.266668	0.250298	0	0	0
ENSMUSG00000025016	26.9417	30.0649	39.4651	33.9187	40.1648	38.1746	36.3251	32.7169	46.0884	52.0688
ENSMUSG00000025017	0	0	0	0	0.0276758	0	0	0	0.485019	0.00673881
ENSMUSG00000025019	27.1485	15.1834	11.1315	6.73878	5.7402	9.28788	8.53106	7.01371	3.48057	6.17657
ENSMUSG00000025020	99.9752	59.153	43.4876	68.8099	42.5827	35.3927	48.9488	33.5278	2.6189	0.53769
ENSMUSG00000025024	9.39678	13.6928	9.73892	10.0744	10.1881	10.7357	11.3289	17.1061	10.17	19.8883
ENSMUSG00000025025	12.4989	8.0302	3.1318	3.17801	6.15511	4.97045	5.38667	5.12343	9.17845	6.81189
ENSMUSG00000025026	29.0356	43.8238	33.5504	36.4481	28.0568	22.2703	29.1861	33.9923	8.50366	4.72722
ENSMUSG00000025027	17.6992	16.3897	12.3455	15.4011	17.8773	14.0753	13.8948	16.2563	5.48848	12.3696
ENSMUSG00000025034	16.4373	6.12122	7.23933	9.0517	9.85109	8.48545	10.7855	10.902	8.16655	16.1737
ENSMUSG00000025035	47.0517	28.1897	41.4694	39.7417	40.8972	55.9448	50.2568	49.5984	60.4949	87.6321
ENSMUSG00000025036	3.28483	1.51897	0.506851	0.38785	0.738236	0.226619	0.387967	0.357895	0.0980321	0.392918
ENSMUSG00000025037	1.4671	4.06067	4.62076	3.71921	5.21504	2.56369	3.55675	3.57893	7.03261	2.63189
ENSMUSG00000025038	1.42866	2.14535	1.84965	1.17458	1.43821	1.84887	0.930274	0.259673	0.409412	0.246925
ENSMUSG00000025040	12.8991	14.0957	18.4611	18.4179	17.4109	15.6502	13.4677	14.1774	18.6081	29.1606
ENSMUSG00000025041	7.37207	10.1976	9.899	11.8852	7.46964	9.50659	11.8308	9.77262	19.6991	16.4932
ENSMUSG00000025043	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025044	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025047	5.60399	3.49757	2.48429	3.41672	4.17321	2.65061	3.20115	3.57706	2.54683	3.60971
ENSMUSG00000025049	8.04039	5.21278	3.13679	3.86239	5.41215	3.81159	5.20098	4.97903	6.12443	2.88033
ENSMUSG00000025050	15.005	12.5685	7.03525	4.72682	6.23332	6.48503	4.61275	7.24595	3.58416	6.95509
ENSMUSG00000025051	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025056	0	0	0.00996325	0.0703126	0	0	0.0731475	0	0	0
ENSMUSG00000025058	0	0	0	0	0.0273229	0	0	0.0344995	0.00562789	0
ENSMUSG00000025059	4.06703	4.35378	8.25381	5.45756	16.8679	9.72645	5.55038	8.90649	5.44957	4.67461
ENSMUSG00000025060	41.3368	59.3924	48.2907	42.7476	51.1225	61.571	71.6535	56.1443	17.6653	19.7545
ENSMUSG00000025064	1.47238	0.124843	0	0.0323003	0	0.0833538	0.0198421	0	0	0
ENSMUSG00000025066	27.047	39.1452	54.8499	58.309	49.584	48.2173	58.8469	71.4084	73.9365	70.9195
ENSMUSG00000025068	13.4236	9.57383	8.26378	15.588	63.8661	11.8685	8.30128	6.84409	13.6222	22.6683
ENSMUSG00000025069	1.17315	0.839626	0	0.0980764	0.14643	0.542123	0.0431426	0.0934782	0.0548035	0.0223346
ENSMUSG00000025075	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025076	0	0.0543109	0.0702023	0.175539	0.0986399	0.0577859	0.529465	0.872075	1.66341	0.201895
ENSMUSG00000025077	2.52113	1.4281	1.02977	1.8068	1.27354	1.45953	1.79533	1.23455	2.65293	2.45727
ENSMUSG00000025078	0.366392	2.52002	1.26999	1.74969	1.28852	1.82671	1.91814	1.70632	1.72155	2.45513
ENSMUSG00000025081	0.692319	0.151947	0.401786	0.944145	0.449652	0.339317	0.0159228	0.390555	0.270506	0.0216418
ENSMUSG00000025082	0	0	0.0154325	0.0357041	0	0	0	0	0	0
ENSMUSG00000025083	1.77109	0.0323048	1.28056	0.0786804	1.19304	0	0	0	0.0418792	0.410568
ENSMUSG00000025085	29.2653	28.0301	17.5251	14.2295	51.7143	1.72058	5.61873	11.9617	18.1734	16.8696
ENSMUSG00000025086	8.12901	10.8581	4.8167	5.3338	5.62032	4.21235	5.08687	4.75158	7.19085	6.29348
ENSMUSG00000025089	20.5394	43.6013	1.20381	12.2589	0.543611	0.140761	3.74452	14.7211	3.28846	29.9864
ENSMUSG00000025090	0	1.1556	0	0	0	0	0	0	0	0
ENSMUSG00000025091	0	0.319618	0.20933	0.015892	0	0	0	0	0	0
ENSMUSG00000025092	59.6568	111.393	97.3091	123.235	86.7694	112.313	129.845	157.214	37.2345	50.3342
ENSMUSG00000025094	8.74195	4.63818	8.14297	4.90644	4.39853	1.71425	2.11281	2.60536	3.52556	1.97815
ENSMUSG00000025102	3.51401	9.64167	10.5144	8.34566	5.91003	7.70519	20.329	16.0848	9.07199	6.7554
ENSMUSG00000025103	16.1031	17.7397	26.2001	34.9233	29.0944	37.1495	36.7319	29.5414	45.7444	43.754
ENSMUSG00000025104	20.6127	35.1486	38.6567	35.52	25.1107	26.1093	27.3533	31.0228	41.001	39.9364
ENSMUSG00000025105	0	0	0.00387139	0	0	0	0	0	0	0
ENSMUSG00000025127	0	0.28025	0	0	0.10001	0	0	0	0.0819474	0
ENSMUSG00000025128	52.596	20.7349	13.5391	14.9024	30.3375	11.3882	12.2043	8.99117	0.363241	0.13732
ENSMUSG00000025129	0	0.0662157	0	0	0	0	0	0	0	0
ENSMUSG00000025130	28.6472	14.6381	21.2033	22.3799	20.3836	19.88	26.4003	20.0468	31.0947	40.3925
ENSMUSG00000025132	85.5871	80.4924	139.027	97.1226	136.684	117.507	120.875	111.056	94.3577	60.6415
ENSMUSG00000025133	5.23006	9.85688	11.3615	16.8447	16.3977	10.2623	17.496	20.3951	14.7085	11.6617
ENSMUSG00000025134	13.1436	9.12357	2.77723	5.38041	4.19599	3.19274	4.93642	3.64797	13.2123	10.4715
ENSMUSG00000025135	11.5561	7.74892	12.6185	11.2352	5.43485	13.5219	11.3669	9.15646	22.6228	15.0598
ENSMUSG00000025137	7.20471	6.97485	7.54214	3.52753	4.78482	8.43107	6.94198	8.63068	7.50441	6.64465
ENSMUSG00000025138	10.6967	12.7415	8.51789	7.99266	7.36083	12.5053	6.68243	8.66207	4.72846	6.40121
ENSMUSG00000025139	42.6453	29.8928	40.9638	38.2059	60.5594	42.1582	38.0312	37.9389	36.6109	40.6987
ENSMUSG00000025140	0.237427	0.388715	0.0922714	1.01893	0.0504165	0.099327	0.071028	0.0927896	1.15394	1.30538
ENSMUSG00000025141	7.52473	5.07874	1.35817	1.86552	1.57223	0.816552	0.0738278	0	2.44474	25.4316
ENSMUSG00000025142	21.8687	4.01151	5.25919	5.95375	4.61695	6.08881	5.09159	4.85259	12.8648	15.7812
ENSMUSG00000025144	7.86475	6.93575	3.51733	3.1921	4.12004	3.97098	3.0269	5.27016	8.30092	5.87543
ENSMUSG00000025145	10.6099	17.144	3.67776	5.0473	5.15331	5.2896	3.70767	6.94717	2.39103	7.19103
ENSMUSG00000025147	0.441654	1.95202	2.63015	2.54791	1.90444	1.96869	3.91219	2.31465	5.4173	9.26233
ENSMUSG00000025150	0	0	0	0	0	0	0	0	0.0411834	0
ENSMUSG00000025151	267.325	221.997	201.6	262.375	236.711	222.609	243.643	310.437	363.504	296.446
ENSMUSG00000025153	8.53965	7.83249	20.8809	19.0079	12.3068	22.9975	22.3492	26.6484	7.57574	5.20993
ENSMUSG00000025154	0.0712052	1.11278	0.97908	1.01079	1.30724	0.823044	1.14856	1.30383	0.405622	0.565933
ENSMUSG00000025155	6.56334	11.5191	8.13951	7.33996	12.721	5.6655	8.72986	12.3273	8.41922	20.2933
ENSMUSG00000025156	31.8215	12.2749	20.8137	20.8276	18.408	20.9946	18.7858	21.953	30.6503	25.1015
ENSMUSG00000025157	1.68031	3.64303	2.30287	2.49746	1.86284	2.77622	2.0662	3.13224	3.21001	1.64156
ENSMUSG00000025158	18.5518	10.6732	12.3859	10.8062	15.3128	9.38356	10.8994	14.1476	9.81922	9.45971
ENSMUSG00000025159	8.95642	8.09949	5.56681	4.29406	5.16537	6.90476	5.13942	7.1	5.91878	5.85728
ENSMUSG00000025161	0.62132	0.0153884	0.165448	0.0957314	0.0324455	0.0787071	0.0306392	0.159038	0	0.0135962
ENSMUSG00000025162	37.1366	31.824	38.8757	37.8922	41.1509	37.5035	40.7761	38.9261	30.7353	23.6122
ENSMUSG00000025163	0	0	0	0.0244271	0	0	0	0	0	0
ENSMUSG00000025165	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025169	0.0834508	0.483004	0.630029	2.88729	1.42367	0.403206	1.45185	1.95789	2.35515	3.04634
ENSMUSG00000025170	48.3419	33.2006	11.6377	8.78411	11.7343	20.9732	23.3857	13.4187	2.21174	0.495073
ENSMUSG00000025171	0.607355	0.265794	0.494895	0.591873	0.434202	1.14735	0.694485	0.194194	1.29461	0.924018
ENSMUSG00000025172	0	0	0	0	0	0.1478	0.0708251	0.25478	1.11195	0.0258035
ENSMUSG00000025173	17.8823	8.07653	8.96336	9.16576	7.47322	6.22566	7.72295	6.01031	14.3297	10.0239
ENSMUSG00000025175	16.5769	14.1562	8.44495	15.7015	11.472	12.3619	12.975	18.2932	19.0103	48.3019
ENSMUSG00000025176	5.05405	0.39853	0.664086	0.355674	0.127185	0.0440706	0	1.93288	0.0114159	0
ENSMUSG00000025178	14.566	7.84192	12.1342	12.9133	13.1425	9.3214	10.6962	8.61463	20.1949	20.4955
ENSMUSG00000025184	3.97391	3.73572	4.89856	5.33229	5.45003	4.45022	4.71744	4.37412	4.71799	4.73096
ENSMUSG00000025185	0.0370978	0.197772	0.0783836	0.108592	0.112711	0.125502	0.0164823	0.253704	1.15065	0.0945419
ENSMUSG00000025188	0.0845948	2.38896	0.989345	1.15924	0.915578	0.944031	1.12679	0.707381	0.656899	0.770025
ENSMUSG00000025189	75.7658	60.1448	37.0541	36.767	14.6541	34.5334	41.5726	47.7377	39.1294	50.8996
ENSMUSG00000025190	102.745	149.479	310.219	258.693	299.626	221.769	301.063	326.794	204.894	464.215
ENSMUSG00000025192	3.64531	4.06062	13.8455	5.8482	6.89217	3.12953	3.6539	5.34551	5.90414	15.4614
ENSMUSG00000025193	21.0195	5.45045	6.45825	6.05877	2.05405	2.2749	8.15504	7.55528	6.28219	6.12559
ENSMUSG00000025194	0.546895	0.00871241	0	0.00950847	0	0	0	0	0.0199549	0.0110771
ENSMUSG00000025195	1.93218	1.86042	0.612267	1.95592	0.644891	1.00007	1.32365	1.31398	0.765096	0.544722
ENSMUSG00000025196	0	0	0	0.0329608	0	0	0	0	0.114359	0.0776364
ENSMUSG00000025197	0	0.0232361	0	0.197557	0	0.128907	0	0.0713489	0	0.0307844
ENSMUSG00000025198	10.036	11.9664	10.9715	12.0076	4.76698	6.06549	8.94345	12.6722	10.602	3.86434
ENSMUSG00000025199	10.4356	35.5592	8.97507	11.001	7.57867	7.90738	5.85881	7.50093	4.60765	14.3777
ENSMUSG00000025200	0.521939	7.09861	3.4496	3.94739	3.55975	2.74453	1.98267	2.66808	3.86569	4.30358
ENSMUSG00000025201	0	0	0	0	0	0.114904	0	0	0.0400474	0.0326252
ENSMUSG00000025202	0	3.3232	2.04122	0.964182	0.589993	0.0138503	0	0.224697	0.28991	0.505602
ENSMUSG00000025203	31.5542	39.5312	81.055	69.9775	27.4	64.9587	70.1695	81.1135	66.3656	75.0975
ENSMUSG00000025204	225.544	66.0553	83.5184	89.4043	73.1423	103.242	92.0627	77.5308	254.532	308.126
ENSMUSG00000025207	0.238471	2.88826	0.808759	5.48967	0.0534999	0.0688444	0.566462	2.51302	7.47247	12.0286
ENSMUSG00000025208	31.3552	10.5381	12.9278	14.9154	15.4761	10.0012	13.5165	13.7146	27.3673	30.7681
ENSMUSG00000025209	2.51952	4.52339	1.58031	2.65139	2.80052	2.34695	3.10889	2.48305	4.37897	1.13609
ENSMUSG00000025212	38.2481	10.1897	37.6578	25.8528	22.8345	30.376	42.6257	42.4798	35.8852	35.4046
ENSMUSG00000025213	0	0.067256	0.467437	0.810749	0.125734	0.0117805	0	1.28916	0.487216	4.73007
ENSMUSG00000025215	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025216	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025217	13.9075	17.485	16.3514	17.7938	15.5428	17.5322	18.2636	18.6495	17.4404	19.0163
ENSMUSG00000025218	0.046963	0.190459	0.576863	0.977304	1.3371	0.334963	0.976485	0.447852	0.908127	1.45337
ENSMUSG00000025219	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025220	114.641	129.452	123.149	106.395	77.9282	97.0119	118.819	120.33	102.489	136.003
ENSMUSG00000025221	81.5621	60.5031	70.7439	76.5952	64.5888	66.1913	37.9843	32.6756	2.66099	25.5197
ENSMUSG00000025223	38.9482	20.9514	12.0138	18.0588	15.1426	26.444	19.1644	19.5667	19.2909	8.49053
ENSMUSG00000025224	36.908	32.8842	27.4039	30.0787	32.4242	29.4036	25.0202	29.428	29.2849	34.6991
ENSMUSG00000025225	0	0.0377032	0.020499	0.178783	0.102684	0	0	0	0.061906	0.117259
ENSMUSG00000025226	5.74223	1.57784	1.70558	2.41948	1.28117	2.11053	1.64409	0.972248	1.49269	1.43479
ENSMUSG00000025227	20.9165	6.26832	10.3365	10.4514	6.66216	9.24713	7.81371	6.4357	7.1929	7.25566
ENSMUSG00000025228	29.8767	27.1937	38.6658	45.7777	32.6894	46.746	43.5501	42.5174	40.5347	42.1993
ENSMUSG00000025229	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025231	3.85315	4.00663	1.23235	2.22641	1.41087	2.00676	2.21769	2.05573	1.994	2.34183
ENSMUSG00000025232	3.79309	5.52573	7.71269	9.26042	5.89113	8.5514	8.94951	8.14477	14.7234	9.78868
ENSMUSG00000025234	47.138	44.3116	47.3401	36.6872	40.71	50.6639	44.5292	44.1619	42.2126	35.8229
ENSMUSG00000025235	14.0253	15.5003	16.0734	13.965	14.543	16.6614	18.1454	15.6064	25.9143	18.5648
ENSMUSG00000025236	2.71222	2.07071	3.04122	1.82134	3.08173	1.08869	1.61281	2.09131	4.66367	9.82565
ENSMUSG00000025237	61.6996	48.7895	50.3543	39.4221	41.3484	35.1208	38.282	45.2396	22.6553	41.7375
ENSMUSG00000025239	0	0.757381	0.452998	0.294988	0.0394222	0.690168	0.493794	0.183491	0.149963	0.855782
ENSMUSG00000025240	11.2211	11.0143	18.9429	16.2887	17.6491	13.6747	14.2958	14.3469	46.1567	51.138
ENSMUSG00000025241	7.05963	15.3157	1.45678	1.55596	0.770944	1.9203	1.69053	3.0057	1.72799	1.73825
ENSMUSG00000025243	0.898477	0.639537	0.0791565	0.0410001	0.0803021	0.0990834	0.0584821	1.18997	0.193966	0.229155
ENSMUSG00000025245	69.6745	62.7738	50.3406	66.991	52.7279	33.1685	49.5952	50.4584	35.9429	42.2594
ENSMUSG00000025246	3.87596	15.5507	14.9752	23.0422	18.6002	24.4492	17.8359	16.8857	28.9612	16.5085
ENSMUSG00000025255	10.8915	4.65066	0.522385	0.200197	1.82817	11.7081	2.92382	2.60458	1.47524	0.0416331
ENSMUSG00000025257	0.0723449	0.0338543	0.0836173	0.0195783	0.0226724	0.231233	0	0.032172	0.874042	0.0102427
ENSMUSG00000025260	28.1947	13.5634	18.9018	14.7438	15.9572	10.7545	12.7864	11.144	11.3167	12.9575
ENSMUSG00000025261	117.357	158.536	156.691	147.487	143.544	109.669	147.41	159.312	89.7964	114.8
ENSMUSG00000025262	16.2651	16.2247	19.1899	19.6657	13.8756	18.4623	19.8536	24.0538	12.4845	7.08361
ENSMUSG00000025264	15.9958	18.0014	13.7214	16.7896	14.3933	16.3691	19.9455	14.487	21.4494	22.0099
ENSMUSG00000025265	5.93878	5.10741	2.93356	4.03083	6.07261	3.28332	2.46755	5.74924	2.03037	3.03148
ENSMUSG00000025266	61.2456	93.9523	89.9243	101.312	99.517	74.459	106.92	113.056	86.5418	106.972
ENSMUSG00000025268	6.36746	5.86901	6.85474	8.9141	4.94727	5.47365	11.9284	11.0338	17.2306	15.3179
ENSMUSG00000025269	5.76409	5.68421	1.52256	1.952	1.29454	1.45093	1.43233	1.61565	1.83118	5.31192
ENSMUSG00000025270	0.429701	4.85564	0.923329	0.195895	0.277233	0.102559	0.0698979	0.848914	0	2.74036
ENSMUSG00000025271	0	0.0932895	0.258936	0.440515	0.246179	0.328166	0.529411	0	0.24823	0.18455
ENSMUSG00000025272	55.4068	80.0546	53.3032	63.2055	49.0455	40.959	55.4324	63.2313	37.9167	34.6707
ENSMUSG00000025277	55.9639	26.4102	39.9339	26.5762	47.5919	39.4755	30.2137	29.4374	15.676	33.2373
ENSMUSG00000025278	4.25599	5.68854	5.72509	4.38127	3.32501	4.92746	1.60208	2.10897	3.18105	4.91388
ENSMUSG00000025279	0	0.0562111	0.01241	0	0.0612208	0	0	0	0.081751	0
ENSMUSG00000025280	6.28907	11.9703	6.83323	7.8794	6.69785	7.25104	7.49688	7.85367	4.66161	9.53124
ENSMUSG00000025283	18.8505	1.47308	10.9871	5.64361	4.63964	3.4528	2.714	0.612442	25.8603	28.1221
ENSMUSG00000025287	8.00764	4.678	11.4431	6.84635	10.5054	6.38509	5.39869	7.04817	8.9907	13.3911
ENSMUSG00000025288	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025289	0.440932	1.87022	1.42445	3.7862	2.04131	0.500231	0.936445	1.59165	9.78881	4.66793
ENSMUSG00000025290	244.595	139.282	102.863	116.012	96.4737	106.5	119.768	128.833	363.489	280.126
ENSMUSG00000025314	97.6093	39.3313	41.2478	28.0898	62.7919	41.7577	48.4906	46.9602	20.3209	11.9796
ENSMUSG00000025316	48.0966	20.6086	14.1819	7.84339	7.42402	10.2624	11.2776	18.0376	15.8354	5.21556
ENSMUSG00000025317	0.0437525	0.0382501	0	0.0320526	0.0137817	0.0191525	0	0.0389407	0.0491606	0.0454506
ENSMUSG00000025318	22.9595	10.372	14.7501	10.5162	13.61	19.5467	14.4685	11.7744	11.0863	5.90126
ENSMUSG00000025321	12.0567	9.3645	2.03755	1.22159	0.329316	0.143964	0.0968708	0.557942	0.714105	0.975942
ENSMUSG00000025323	11.9931	13.5811	6.36353	5.97478	4.5881	8.95277	8.04201	8.09026	6.17698	4.89715
ENSMUSG00000025324	0	0.00466742	0.0142724	0.0439572	0.0646174	0	0.084221	0.131172	0.0305232	0.0444523
ENSMUSG00000025326	34.1247	34.8529	41.5547	32.8763	37.7482	40.2263	34.066	32.1238	18.3368	16.1551
ENSMUSG00000025328	0	0	0	0	0	0	0	0	0.00687696	0
ENSMUSG00000025329	0	0	0	0	0	0	0	0	0.0450231	0
ENSMUSG00000025330	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025332	24.8827	11.905	11.2156	10.8951	9.58123	13.5256	12.5493	15.2975	7.54117	10.3977
ENSMUSG00000025333	0	0	0	0	0	0	0.548228	0	0.087872	0
ENSMUSG00000025337	13.4048	17.7324	20.1779	17.9643	19.0598	22.3279	25.9336	21.9144	50.4567	36.5224
ENSMUSG00000025340	12.4971	13.7554	16.8217	11.8989	21.05	16.8517	17.3458	14.5414	22.1097	41.2742
ENSMUSG00000025347	0	0	0.0160942	0.0202957	0	0.0778712	0	0	0	0
ENSMUSG00000025348	3.48029	0.0113702	2.69336	0.61754	4.2668	2.75608	0.200329	0.0523767	0.0872216	0.705066
ENSMUSG00000025350	0.320524	0.55412	0.386016	1.56342	0.553179	0.133715	0	0.400446	0.614337	1.32577
ENSMUSG00000025351	11.7353	0.936669	0.750706	8.01877	0.304927	0.106536	0.73061	0.721287	56.1108	76.2037
ENSMUSG00000025352	9.22394	4.76191	3.67711	4.73902	3.54456	3.46297	3.36218	2.19698	6.61896	12.6589
ENSMUSG00000025353	10.8783	5.23139	7.10889	6.24751	6.32946	6.90259	6.11296	7.41574	5.82293	4.82728
ENSMUSG00000025354	11.189	9.92251	7.85352	6.86422	7.00619	7.81	8.82195	7.24567	2.9516	2.01904
ENSMUSG00000025355	0	0.0528494	0.0289372	0.0608415	0.483715	0.007005	0	0	0.0539261	0.497543
ENSMUSG00000025357	2.43596	2.3302	3.47053	2.96428	0.84204	0.7081	1.93067	0.775674	5.07146	3.0995
ENSMUSG00000025358	0	0	0	0	0	0	0	0	0.0456821	0
ENSMUSG00000025359	0.026087	0	0.00926526	0.0310931	0	0.00763289	0	0	0.176755	0.0286959
ENSMUSG00000025362	164.902	59.7746	46.1052	56.7981	57.1372	54.5435	50.732	57.6254	190.566	154.506
ENSMUSG00000025364	35.9071	46.0442	51.5322	47.2451	50.8034	43.1663	49.3474	47.8066	35.2531	44.0493
ENSMUSG00000025366	0.30595	0.437975	0.699763	0.165531	0	0.137006	0.191608	0.0936704	0.26409	2.35374
ENSMUSG00000025369	53.7455	48.4442	45.7417	43.124	46.4473	43.5007	51.5167	58.1797	45.8152	48.1109
ENSMUSG00000025370	43.7854	69.1813	52.845	25.1367	1.89182	2.16122	1.55324	3.99824	32.1173	5.3034
ENSMUSG00000025371	4.095	5.66354	3.43134	5.28961	3.29235	2.68986	4.54631	5.75315	4.426	8.89878
ENSMUSG00000025372	165.862	67.4569	54.1984	43.0964	57.8815	98.4831	78.921	75.7366	4.74964	0.687274
ENSMUSG00000025373	14.7828	7.45659	8.1728	8.46928	13.8843	9.079	10.0972	9.66776	12.4534	8.68464
ENSMUSG00000025374	112.514	73.2484	77.5638	68.2572	69.59	68.381	62.665	75.4943	46.0394	58.3807
ENSMUSG00000025375	24.3153	18.4686	31.2782	27.1611	22.6936	22.008	23.0558	24.7803	13.2787	12.1276
ENSMUSG00000025377	12.4029	3.32841	1.89576	2.39734	1.65873	3.33293	2.62682	1.68966	1.14195	2.8428
ENSMUSG00000025380	0.276855	2.14215	0	0.115275	1.2486	0.0483279	0.0503616	0.0252016	3.0188	2.27843
ENSMUSG00000025381	25.5832	24.326	23.4724	20.2989	18.3693	30.8523	36.6311	25.3738	36.9941	26.7818
ENSMUSG00000025383	0	0	0	0	0.0920622	0	0	0	0.0310921	0
ENSMUSG00000025384	4.38121	7.17032	3.22949	2.65194	0.955833	0.319395	0.676121	1.30719	3.80546	3.15579
ENSMUSG00000025386	0.0913257	1.31494	0.25701	0.0200841	0.0859358	0.0897274	0.0154546	0.0734502	0.306393	0.729765
ENSMUSG00000025389	0	0.0851411	0.0184095	0.0281028	0	0	0	0	0	0
ENSMUSG00000025393	2985.88	1898.59	2544.05	2090.58	2989.13	1791.61	2100.96	2283.17	2981.8	3634.33
ENSMUSG00000025395	0.290598	5.02995	0.193978	3.74557	1.7955	1.54528	1.18523	1.31185	2.26485	1.00405
ENSMUSG00000025396	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025400	0	0	0.203155	0	0.104331	0.0478178	0	0	2.07526	0
ENSMUSG00000025401	0	0.0543673	0	0.126522	0	0.0644323	0.0308088	0.194402	0.259981	0.0335309
ENSMUSG00000025402	18.8671	9.88281	5.41383	8.27556	7.04108	10.1489	14.3432	5.85921	4.04485	4.3147
ENSMUSG00000025403	7.11467	8.69572	3.30333	5.96093	5.44467	3.20796	4.39507	1.82584	7.02668	9.30326
ENSMUSG00000025404	71.3691	65.8688	103.415	79.0152	137.216	139.882	122.321	96.9999	41.2833	68.0051
ENSMUSG00000025405	0.027734	0	0	0	0	0	0	0	0	0
ENSMUSG00000025407	0	0	0	0.00339737	0	0	0	0	0	0
ENSMUSG00000025408	4.64635	8.05765	7.90237	6.76498	8.08048	7.10162	8.7652	16.3593	69.5544	56.4095
ENSMUSG00000025409	17.21	9.59686	2.13106	2.66446	1.69248	2.65362	2.52628	2.08218	1.87658	9.07569
ENSMUSG00000025410	40.4341	27.416	50.4927	41.2504	43.7577	47.3131	44.6603	49.416	43.0297	60.6739
ENSMUSG00000025413	21.5922	20.7746	8.24229	10.5579	6.74893	8.93751	11.3943	21.6919	8.18969	16.2566
ENSMUSG00000025417	9.1761	7.80795	48.8602	30.375	38.9094	40.1773	36.9663	27.2957	7.73929	11.1654
ENSMUSG00000025418	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025420	1.21827	1.65096	1.19233	1.98771	2.65676	1.23144	2.37449	1.50748	1.16459	0.0630204
ENSMUSG00000025421	19.2609	15.2414	18.6938	27.5641	27.6473	29.6456	27.5212	25.2	42.2948	51.8749
ENSMUSG00000025422	55.0781	29.2866	38.6048	38.1851	65.3255	47.0337	42.7963	36.7271	6.92556	4.16023
ENSMUSG00000025423	19.2818	18.4537	16.7764	15.2151	16.6783	19.335	15.0911	16.08	18.059	15.8915
ENSMUSG00000025425	0.16882	0.318726	31.3655	19.8528	19.1929	27.4579	30.2806	31.5086	17.8013	29.1468
ENSMUSG00000025427	14.4239	18.4504	26.3524	24.1853	25.1462	18.5605	17.766	17.876	6.2938	3.85872
ENSMUSG00000025428	171.032	183.921	284.073	347.702	355.805	280.382	313.025	320.443	454.579	679.272
ENSMUSG00000025429	20.0972	4.12341	4.58048	3.62269	4.33866	1.89449	3.49025	3.72308	10.8522	5.25798
ENSMUSG00000025431	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025432	0.0359545	0.21914	0.0118784	0	0.0397014	0.0584374	0	0	0.424176	0.0679253
ENSMUSG00000025433	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025436	5.39495	1.82263	1.15526	2.10402	2.37253	2.40221	2.33438	1.49015	1.68435	1.79945
ENSMUSG00000025437	47.025	41.2094	70.6358	75.7872	75.855	63.1519	59.0466	49.6997	57.2559	71.1024
ENSMUSG00000025439	45.0773	51.3613	58.4567	65.2395	48.6978	38.3733	52.7262	53.8057	74.0498	67.0625
ENSMUSG00000025450	0.519054	1.39642	0.232696	0.487862	0.229341	0.300044	0.283562	0.265618	0.0824515	0.0391234
ENSMUSG00000025451	20.8567	19.2273	22.8172	20.6275	20.7139	24.6126	30.4208	28.5518	29.6394	20.1199
ENSMUSG00000025453	3.10337	4.52328	3.77955	2.64574	3.01547	1.96449	2.44921	1.72684	3.97803	5.16999
ENSMUSG00000025461	0	0.184015	0.0108706	0.0325915	0.0514775	0.0754292	0.0125332	0.0203854	0	0
ENSMUSG00000025464	1.81193	0.340677	0.550722	0.907188	0.607475	0.732808	0.638892	0.687962	1.87861	2.16493
ENSMUSG00000025465	17.5048	6.51748	4.67958	7.20891	6.29701	8.00718	6.71995	5.66091	14.7133	13.4262
ENSMUSG00000025466	14.6196	7.06219	6.51163	7.00338	9.72968	13.574	11.1588	6.34389	30.6899	42.6758
ENSMUSG00000025467	0	0.0358648	0	0	0	0.115582	0	0	0	0.114452
ENSMUSG00000025468	134.556	77.7167	46.0032	64.5254	40.0784	80.8879	63.9713	86.94	90.2467	27.3947
ENSMUSG00000025469	0	0	0	0	0	0	0	0.0578675	0	0
ENSMUSG00000025470	16.8426	4.97842	3.76522	4.34707	6.14081	5.50354	4.39792	4.71691	7.33031	3.37666
ENSMUSG00000025473	4.86105	1.66191	0.0486902	0.583099	0.168791	0.684438	0.095005	0.35359	0.0820687	0.0603707
